Ancient Archives (1)	Gain 1 Tome of Traits.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/ancientarchives1.tft_set6.png
Arcane Nullifier (1/2/3)	Your units' Abilities ignore 20/40/60% of the target's Magic Resist and reduce healing received by 50% for 8 seconds.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/arcane-nullifier-i.tft_set6_stage2.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/arcane-nullifier-ii.tft_set6_stage2.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/arcane-nullifier-iii.tft_set6_stage2.png
Arcanist Heart/Crest/Crown	1: Your team counts as having 1 additional Arcanist. Gain a Swain.  2: Gain an Arcanist Emblem and a Swain.  3: Gain 2 Arcanist Emblems.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/arcanistheart1.tft_set6.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/arcanistemblem2.tft_set6.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/arcanistemblem3.tft_set6.png
Archangel's Embrace (2)	Upon casting their Ability, your units gain Ability Power equal to 25% of their maximum Mana.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/archangel-ii.tft_set6_stage2.png
Ardent Censer (1)	Allies healed or shielded by Enchanters gain 45% stacking Attack Speed for the rest of combat (maximum once every 3 seconds). Gain a Lulu.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/ardentcenser1.tft_set6.png
Armor Plating (2)	Colossus become invulnerable for 3 seconds when their Health drops to 50%. Gain a Cho'Gath.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/armorplating2.tft_set6.png
Ascension (1)	After 15 seconds of combat, your units deal 50% more damage.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/ascension1.tft_set6.png
Assassin Heart/Crest/Crown	1: Your team counts as having 1 additional Assassin. Gain a Talon.  2: Gain an Assassin Emblem and a Talon.  3: Gain 2 Assassin Emblems.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/assassinheart1.tft_set6.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/assassinemblem2.tft_set6.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/assassinemblem3.tft_set6.png
Backfoot (1/2/3)	Your units that start combat in the back 2 rows gain 20/30/45% Attack Speed.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/backfoot-i-b.tft_set6_stage2.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/backfoot-ii-b.tft_set6_stage2.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/backfoot-iii-b.tft_set6_stage2.png
Band of Thieves (3)	Gain 2 Thief's Gloves.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/bandthieves3.tft_set6.png
Battlemage (1/2/3)	Your units that start combat in the front 2 rows gain 30/45/60 Ability Power.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/battlemage-i-a.tft_set6_stage2.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/battlemage-ii-a.tft_set6_stage2.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/battlemage-iii-a.tft_set6_stage2.png
Binary Airdrop (2)	Your champions equipped with 2 items temporarily gain a random completed item at the start of combat.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/binaryairdrop2.tft_set6.png
Blue Battery (1/3)	After casting their Ability, your units restore 10/20 Mana.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/blue-battery-i.tft_set6_stage2.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/blue-battery-iii.tft_set6_stage2.png
Bodyguard Heart/Crest/Crown	1: Your team counts as having 1 additional Bodyguard. Gain a Blitzcrank.  2: Gain a Bodyguard Emblem and a Darius.  3: Gain 2 Bodyguard Emblems.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/bodyguardheart1.tft_set6.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/bodyguardemblem2.tft_set6.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/bodyguardemblem3.tft_set6.png
Broken Stopwatch (2)	5 seconds into combat, all enemies and non-Clockwork units are frozen in time for 4 seconds. Gain a Zilean.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/brokenstopwatch2.tft_set6.png
Bruiser Heart/Crest/Crown	1: Your team counts as having 1 additional Bruiser. Gain a Sejuani.  2: Gain a Bruiser Emblem and a Sejuani.  3: Gain 2 Bruiser Emblems.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/bruiserheart1.tft_set6.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/bruiseremblem2.tft_set6.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/bruiseremblem3.tft_set6.png
Built Different (1/2/3)	Your units with no Traits active gain 300/400/500 Health and 50/60/70% Attack Speed.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/builtdifferent1.tft_set6.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/builtdifferent2.tft_set6.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/builtdifferent3.tft_set6.png
Calculated Loss (1)	After losing your combat, gain 2 gold and a free Shop refresh.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/calculatedloss1.tft_set6.png
Celestial Blessing (1/2/3)	Your units heal for 12/20/35% of the damage dealt by attacks and Abilities. Excess healing is converted to a shield up to 300/450/600 Health.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/celestialblessing1.tft_set6.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/celestialblessing2.tft_set6.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/celestialblessing3.tft_set6.png
Challenger Heart/Crest/Crown	1: Your team counts as having 1 additional Challenger. Gain a Quinn.  2: Gain a Challenger Emblem and a Quinn.  3: Gain 2 Challenger Emblems.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/challengerheart1.tft_set6.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/challengeremblem2.tft_set6.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/challengeremblem3.tft_set6.png
Challenger Unity (1)	The Challenger trait grants its bonuses to all of your Champions. This does not increase your number of Challengers. Gain a Quinn.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/study-the-blade-i.tft_set6_stage2.png
Chemical Overload (1/2)	1: Chemtechs explode on death, dealing 20% of their max Health as magic damage to enemies within 2 hexes. Gain a Warwick.  2: Chemtechs explode on death, dealing 30% of their max Health as magic damage to enemies within 2 hexes. Gain a Zac.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/chemicaloverlord1.tft_set6.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/chemicaloverlord2.tft_set6.png
Chemtech Heart/Crest/Crown	1: Your team counts as having 1 additional Chemtech. Gain a Warwick.  2: Gain a Chemtech Emblem and a Warwick.  3: Gain 2 Chemtech Emblems.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/chemtechheart1.tft_set6.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/chemtechemblem2.tft_set6.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/chemtechemblem3.tft_set6.png
Chemtech Unity (1)	The Chemtech trait grants its bonuses to all of your Champions. This does not increase your number of Chemtech units. Gain a Warwick.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/free-healthcare-i.tft_set6_stage2.png
Clear Mind (2)	If you have no champions on your bench at the end of a round, gain 3 experience points.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/clearmind2.tft_set6.png
Clockwork Heart/Soul	1: Your team counts as having 1 additional Clockwork. Gain a Zilean.  3: Your team counts as having 2 additional Clockworks. Gain 8 gold.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/clockworkheart1.tft_set6.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/clockworksoul3.tft_set6.png
Component Grab Bag (2)	Gain 3 random item components.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/componentgrabbag-ii.tft_set6_stage2.png
Concussive Blows (1)	Striker's critical strikes stun their target for 1.5 second(s). Each target can only be stunned once every 7 seconds. Gain a Rek'Sai.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/concussive-blows-i.tft_set6_stage2.png
Cutthroat (1)	Assassins Mana Reave the first unit they attack, increasing their maximum Mana by 50% until they cast. Gain a Talon.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/cutthroat1.tft_set6.png
Cybernetic Implants (1/2/3)	Your champions holding an item gain 150/250/450 Health and 10/20/30 Attack Damage.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/cybernetic1.tft_set6.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/cybernetic2.tft_set6.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/cybernetic3.tft_set6.png
Cybernetic Shell (1/2/3)	Your champions holding an item gain 150/250/350 Health and 30/45/60 Armor.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/cybernetic-shell-i.tft_set6_stage2.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/cybernetic-shell-ii.tft_set6_stage2.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/cybernetic-shell-iii.tft_set6_stage2.png
Cybernetic Uplink (1/2/3)	Your champions holding an item gain 150/250/350 Health and restore 2/3/4 Mana per second.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/cybernetic-uplink-i.tft_set6_stage2.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/cybernetic-uplink-ii.tft_set6_stage2.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/cybernetic-uplink-iii.tft_set6_stage2.png
Debonair Heart/Crest/Crown	1: Your team counts as having 1 additional Debonair. Gain a Talon.  2: Gain a Debonair Emblem and a Syndra.  3: Gain 2 Debonair Emblems.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/debonair-heart.tft_set6_stage2.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/debonair-crest.tft_set6_stage2.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/debonair-crown.tft_set6_stage2.png
Disintegrator (1/2/3)	Your units' attacks deal bonus magic damage equal to 2/3/4% of the target's maximum Health.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/disintegrator-i.tft_set6_stage2.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/disintegrator-ii.tft_set6_stage2.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/disintegrator-iii.tft_set6_stage2.png
Dominance (1)	After winning your player combat, gain 1 bonus gold for every 2 surviving units.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/dominance1.tft_set6.png
Double Trouble (1/2/3)	If you have exactly 2 copies of a champion on your board, they both gain 40/50/65 Attack Damage, Ability Power, Armor, and Magic Resist. When you 3-star, gain a 2-star copy.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/double-trouble-i.tft_set6_stage2.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/double-trouble-ii.tft_set6_stage2.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/double-trouble-iii.tft_set6_stage2.png
Duet (1)	Summon 1 additional Socialite spotlight. Spotlighted units gain 200 Health. Gain a Senna.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/duet1.tft_set6.png
Electrocharge (1/2/3)	When your units receive critical strikes, they deal 90/135/180 magic damage to nearby enemies. (1 second cooldown).	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/electrocharge-i.tft_set6_stage2.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/electrocharge-ii.tft_set6_stage2.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/electrocharge-iii.tft_set6_stage2.png
En Garde (1)	The first time an enemy is attacked by a Challenger, they are Disarmed for 2.5 seconds. Gain a Warwick.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/enguarde1.tft_set6.png
Enchanter Heart/Soul	1: Your team counts as having 1 additional Enchanter. Gain a Lulu.  3: Your team counts as having 2 additional Enchanters. Gain 8 gold.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/enchanterheart1.tft_set6.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/enchantersoul3.tft_set6.png
Enforcer Heart	Your team counts as having 1 additional Enforcer. Gain a Sejuani.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/enforcerheart1.tft_set6.png
Exiles (1/2/3)	Your units that start combat with no adjacent allies gain a 30/45/70% maximum Health shield for 8 seconds.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/exiles1.tft_set6.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/exiles2.tft_set6.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/exiles3.tft_set6.png
Featherweights (1/2/3)	Your 1 and 2 cost champions gain 25/35/55% Attack Speed and Move Speed.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/featherweights1.tft_set6.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/featherweights2.tft_set6.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/featherweights3.tft_set6.png
First Aid Kit (1)	All healing and shielding on your units is increased by 35%.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/firstaidkit1.tft_set6.png
Four Score (2)	Gain 3 random 4-cost champions.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/four-score-ii.tft_set6_stage2.png
Future Sight (2/3)	2: Know who you will fight next. Gain a Zephyr.  3: Know who you will fight next. Gain a Radiant Zephyr.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/future-sight-ii.tft_set6_stage2.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/future-sight-iii.tft_set6_stage2.png
Gold Reserves (2)	Mercenaries deal 2% more damage per 1 gold you have (Maximum +50%). Gain a Quinn.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/goldreserves2.tft_set6.png
Golden Gifts (2/3)	Gain 1/2 golden and 1/2 gray loot orb(s).	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/golden-gifts-ii.tft_set6_stage2.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/golden-gifts-iii.tft_set6_stage2.png
Golden Ticket (3)	Each time your Shop is refreshed, you have a 40% chance to gain a free refresh.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/goldenticket3.tft_set6.png
Hexnova (1)	The first time a Hextech champion drops below 60% Health, they increase nearby enemies' maximum Mana by 50% until they cast. Gain a Nocturne.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/hexnova-i.tft_set6_stage2.png
Hextech Heart/Crest/Crown	1: Your team counts as having 1 additional Hextech. Gain a Swain.  2: Gain a Hextech Emblem and a Nocturne.  3: Gain 2 Hextech Emblems.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/hextech-heart.tft_set6_stage2.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/hextech-crest.tft_set6_stage2.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/hextech-crown.tft_set6_stage2.png
Hextech Unity (1)	The Hextech trait grants its bonuses to all of your Champions. This does not increase your number of Hextech units. Gain a Sejuani.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/hextech-armory-i.tft_set6_stage2.png
High End Shopping (3)	Champions appear in your Shop as if you were 1 level higher. Gain 5 gold.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/highend3.tft_set6.png
High Roller (3)	Gain 3 Loaded Dice and 8 gold.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/grandgambler3.tft_set6.png
Hyper Roll (1)	If you have less than 10 gold at the end of a round, gain 2 gold.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/hyperroll1.tft_set6.png
Innovator Heart/Soul	1: Your team counts as having 1 additional Innovator.  3: Your team counts as having 2 additional Innovators.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/innovatorheart1.tft_set6.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/innovatorsoul3.tft_set6.png
Instant Injection (2)	Chemtechs now additionally trigger their bonuses at the start of combat. Gain a Warwick.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/instantinjection2.tft_set6.png
Irresistible Charm (1)	Debonair champions take 20% less damage. Gain a Leona.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/irresistible-charm-i.tft_set6_stage2.png
Item Grab Bag (1/3)	1: Gain 1 random completed item.  3: Gain 2 random completed items and a Reforger.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/itemgrabbag1.tft_set6.png,https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/itemgrabbag3.tft_set6.png
Jeweled Lotus (2)	Magic and true damage from your units' Abilities can critically strike. Your units gain 25% Critical Strike Chance.	https://raw.communitydragon.org/pbe/game/assets/maps/particles/tft/item_icons/augments/hexcore/jeweled-lotus-ii.tft_set6_stage2.png
